ID,Score,Game ID,Account ID,Account Address,Game Name,Created At,Updated At
31,0,3,61,0x19dCB013607e37EEAE3b0634f2061cB0A74bEAB7,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
27,0,3,48,0xB6663033CdE4e93B9496D76464A09e3Bcb998545,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
29,0,3,59,0xBbC1D4Ca80AFbd514E3D2f624db605229Dbb20Ad,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
33,0,3,65,0xf227ca38Aa630159d3Fe067e9578D5c5D8c39065,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
18,0,3,38,0x8d8ea969D380Ccf6e110E3f1675101bf042a7082,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
12,0,3,31,0xb6766a85d9C6f84cA0cADf3d5351C62b35aC6bfa,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
13,0,3,28,0xE6e3F5cb914754522BF06eC87ED3EdD9b2315877,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
19,0,3,39,0xE2edCD171B0bd98E8A6B97679B25D6Dd36F1f607,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
35,0,3,67,0xda5c5A4587E04b604B478F8265fbFFfb0Df1F05A,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
14,0,3,32,0xFBB5ad8d481e4b58ef057fb5C4Ff772642844dF3,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
17,0,3,36,0xA34357486224151dDfDB291E13194995c22Df505,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
20,0,3,40,0x09d3107ef408D6919F2ee8A7B465C5BC624b9f62,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
21,0,3,41,0x7E83cb4794EE0D3EFB89B767C0AC124403014eF7,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
37,0,3,69,0x05c7050307E8F346cC2623F1f8e3b1eB023130B7,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
15,0,3,33,0x771c5490CBa79183B4ba6Bc839c0f345eA553839,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
25,0,3,45,0x175907573a29b465b28AA63f3fE7f8fb974939a6,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
22,0,3,42,0x85e4CA4577Db8C108Ab1899720a45963568B6660,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
16,0,3,34,0xe6452dF6794959a537EE1c239199C0CEb8433B01,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
36,0,3,68,0x2C3219C9a50D6AacacddE418145c2Cfb625b38A0,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
34,0,3,66,0x45aB3078AB925DB6E69b85E281d29d81268cD73F,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
23,0,3,43,0x4D11dF920E0E48c7E132e5a9754C7e754Cd6EBFB,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
39,0,3,71,0xD0303390Cf482dB01cb00Ade17455C515E3eABff,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
44,0,3,77,0x2e0aCE0129E66A36cee92c5146C73Ec4874d0109,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
47,8,3,82,0xB5809cA34B66E5853374Eb5BD9E68073f82a041f,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 03:11:24.235127
30,0,3,60,0xcFA7ffC84015d6783a468B51AdfCb065e85eF1AE,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
32,0,3,63,0x10CBe0624cc574d816a37Bf31f45bC6904ACeD32,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
43,0,3,76,0x6fc7785be665DD8d5E880376aEA1823183791240,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
28,0,3,57,0x82765e0A0195B66c3bd1B44F29D7709c8531A6ae,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
45,0,3,78,0x8Ca11feE69b0407946a80870D14793e6A35C127a,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
42,0,3,75,0x9181C66D1853883fd8b68aE61aC80d0bEB66c9b1,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
24,0,3,44,0x4005841F389D55dF406d95b69cb77B76248fe6b6,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
46,0,3,79,0xb1D27563893D716FB7677eEfFbc06c14d2da66e4,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
40,0,3,72,0x32A90c57A83c7c7e7c1D3B800E918007537c03c9,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
38,0,3,70,0x7Af043A2E3187219c88Aa8B73f22625f462A08f4,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
41,0,3,74,0x82cb9cf3E0EFe7aa5E26054B274aEa8fa112cb32,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
26,0,3,46,0xDf2DBf07C469db7532c06AB2aBaB81d78AD083aB,Merge Crypto,2025-03-04 11:11:13.45,2025-03-04 11:11:13.45
